Day,Colony,Treatment,Tub,Extension,Color
3,5,Ambient,3,20,80
3,12,Ambient,3,20,40
3,19,Ambient,3,0,100
3,21,Ambient,3,20,100
3,26,Ambient,3,60,60
3,27,Ambient,3,0,20
3,28,Ambient,3,0,80
3,29,Ambient,3,0,100
3,30,Ambient,3,40,0
3,33,Ambient,3,80,0
3,51,Ambient,3,0,100
3,55,Ambient,3,40,60
3,1,High,1,0,100
3,2,High,1,0,100
3,5,High,1,0,100
3,17,High,1,0,100
3,20,High,1,20,100
3,23,High,1,20,100
3,24,High,1,20,100
3,29,High,1,40,80
3,32,High,1,80,80
3,33,High,1,40,0
3,34,High,1,0,100
3,4,High,2,20,80
3,7,High,2,80,60
3,10,High,2,80,60
3,14,High,2,60,60
3,19,High,2,0,100
3,22,High,2,80,80
3,25,High,2,0,60
3,26,High,2,80,100
3,27,High,2,0,80
3,28,High,2,20,80
3,31,High,2,0,80
3,46,High,2,100,80
3,48,High,2,80,60
3,50,High,2,80,80
3,52,High,2,0,20
3,54,High,2,60,60
3,58,High,2,60,80
3,60,High,2,60,80
3,3,High,3,60,80
3,6,High,3,100,80
3,8,High,3,0,100
3,9,High,3,20,100
3,11,High,3,20,80
3,12,High,3,100,80
3,13,High,3,0,60
3,15,High,3,60,80
3,16,High,3,0,80
3,18,High,3,80,100
3,21,High,3,80,100
3,30,High,3,80,60
3,35,High,3,80,80
3,44,High,3,80,0
3,56,High,3,80,80
4,4,Ambient,1,0,80
4,6,Ambient,1,40,80
4,7,Ambient,1,0,80
4,10,Ambient,1,20,80
4,11,Ambient,1,0,80
4,16,Ambient,1,20,100
4,17,Ambient,1,0,100
4,22,Ambient,1,0,100
4,23,Ambient,1,0,40
4,25,Ambient,1,60,100
4,34,Ambient,1,0,100
4,35,Ambient,1,0,100
4,49,Ambient,1,0,20
4,57,Ambient,1,0,100
4,3,Ambient,2,0,80
4,8,Ambient,2,0,80
4,9,Ambient,2,0,100
4,13,Ambient,2,0,100
4,14,Ambient,2,20,80
4,15,Ambient,2,0,80
4,18,Ambient,2,0,100
4,20,Ambient,2,40,100
4,24,Ambient,2,0,80
4,31,Ambient,2,20,80
4,32,Ambient,2,0,80
4,47,Ambient,2,0,60
4,53,Ambient,2,0,100
4,59,Ambient,2,20,100
4,1,Ambient,3,0,40
4,2,Ambient,3,0,80
4,5,Ambient,3,0,60
4,12,Ambient,3,20,60
4,19,Ambient,3,0,100
4,21,Ambient,3,0,100
4,26,Ambient,3,0,40
4,27,Ambient,3,0,100
4,28,Ambient,3,0,80
4,29,Ambient,3,0,80
4,30,Ambient,3,0,0
4,33,Ambient,3,0,0
4,51,Ambient,3,0,40
4,55,Ambient,3,20,60
4,1,High,1,0,80
4,2,High,1,0,100
4,5,High,1,0,100
4,17,High,1,20,80
4,20,High,1,20,100
4,23,High,1,20,80
4,24,High,1,0,100
4,29,High,1,0,100
4,32,High,1,40,80
4,33,High,1,0,0
4,34,High,1,0,80
4,4,High,2,0,100
4,7,High,2,20,60
4,10,High,2,80,80
4,14,High,2,20,60
4,19,High,2,0,100
4,22,High,2,60,80
4,25,High,2,20,80
4,26,High,2,80,80
4,27,High,2,0,100
4,28,High,2,0,100
4,31,High,2,40,80
4,46,High,2,0,80
4,48,High,2,80,100
4,50,High,2,0,80
4,52,High,2,60,20
4,54,High,2,0,100
4,58,High,2,20,80
4,60,High,2,80,80
4,3,High,3,20,100
4,6,High,3,20,80
4,8,High,3,20,100
4,9,High,3,20,100
4,11,High,3,20,80
4,12,High,3,80,80
4,13,High,3,0,80
4,15,High,3,20,100
4,16,High,3,20,100
4,18,High,3,20,100
4,21,High,3,0,100
4,30,High,3,40,60
4,35,High,3,0,100
4,44,High,3,20,0
4,56,High,3,0,100
5,4,Ambient,1,0,40
5,6,Ambient,1,80,80
5,7,Ambient,1,20,40
5,10,Ambient,1,20,60
5,11,Ambient,1,20,80
5,16,Ambient,1,20,80
5,17,Ambient,1,0,100
5,22,Ambient,1,0,100
5,23,Ambient,1,0,60
5,25,Ambient,1,20,100
5,34,Ambient,1,0,60
5,35,Ambient,1,0,80
5,49,Ambient,1,40,40
5,57,Ambient,1,20,100
5,3,Ambient,2,0,100
5,8,Ambient,2,0,80
5,9,Ambient,2,0,80
5,13,Ambient,2,40,60
5,14,Ambient,2,20,40
5,15,Ambient,2,20,80
5,18,Ambient,2,0,100
5,20,Ambient,2,20,100
5,24,Ambient,2,0,100
5,31,Ambient,2,20,80
5,32,Ambient,2,0,100
5,47,Ambient,2,0,60
5,53,Ambient,2,20,80
5,59,Ambient,2,0,100
5,1,Ambient,3,0,100
5,2,Ambient,3,20,80
5,5,Ambient,3,0,60
5,12,Ambient,3,20,40
5,19,Ambient,3,0,80
5,21,Ambient,3,0,100
5,26,Ambient,3,0,100
5,27,Ambient,3,0,100
5,28,Ambient,3,0,80
5,29,Ambient,3,0,80
5,30,Ambient,3,0,60
5,33,Ambient,3,0,100
5,51,Ambient,3,0,100
5,55,Ambient,3,20,60
5,1,High,1,0,100
5,2,High,1,0,100
5,5,High,1,20,100
5,17,High,1,0,80
5,20,High,1,20,100
5,23,High,1,0,100
5,24,High,1,0,100
5,29,High,1,0,100
5,32,High,1,60,80
5,33,High,1,40,0
5,34,High,1,20,80
5,4,High,2,0,100
5,7,High,2,0,60
5,10,High,2,40,80
5,14,High,2,80,60
5,19,High,2,20,100
5,22,High,2,0,80
5,25,High,2,0,80
5,26,High,2,0,60
5,27,High,2,0,100
5,28,High,2,0,100
5,31,High,2,0,80
5,46,High,2,0,100
5,48,High,2,20,80
5,50,High,2,0,60
5,52,High,2,40,40
5,54,High,2,0,80
5,58,High,2,0,100
5,60,High,2,100,80
5,3,High,3,20,80
5,6,High,3,0,80
5,8,High,3,0,80
5,9,High,3,20,100
5,11,High,3,0,80
5,12,High,3,20,60
5,13,High,3,0,20
5,15,High,3,0,100
5,16,High,3,0,100
5,18,High,3,20,100
5,21,High,3,0,80
5,30,High,3,0,100
5,35,High,3,0,100
5,44,High,3,80,0
5,56,High,3,0,100
6,4,Ambient,1,0,100
6,6,Ambient,1,0,80
6,7,Ambient,1,0,60
6,10,Ambient,1,20,80
6,11,Ambient,1,0,80
6,16,Ambient,1,0,100
6,17,Ambient,1,0,100
6,22,Ambient,1,0,100
6,23,Ambient,1,0,100
6,25,Ambient,1,20,100
6,34,Ambient,1,20,60
6,35,Ambient,1,0,100
6,49,Ambient,1,20,80
6,57,Ambient,1,0,80
6,3,Ambient,2,0,100
6,8,Ambient,2,20,80
6,9,Ambient,2,0,80
6,13,Ambient,2,0,100
6,14,Ambient,2,20,60
6,15,Ambient,2,0,80
6,18,Ambient,2,0,100
6,20,Ambient,2,20,100
6,24,Ambient,2,0,100
6,31,Ambient,2,40,80
6,32,Ambient,2,0,100
6,47,Ambient,2,20,60
6,53,Ambient,2,20,80
6,59,Ambient,2,0,100
6,1,Ambient,3,0,100
6,2,Ambient,3,0,80
6,5,Ambient,3,0,60
6,12,Ambient,3,0,40
6,19,Ambient,3,0,80
6,21,Ambient,3,0,100
6,26,Ambient,3,0,60
6,27,Ambient,3,0,100
6,28,Ambient,3,0,80
6,29,Ambient,3,0,80
6,30,Ambient,3,0,20
6,33,Ambient,3,0,100
6,51,Ambient,3,0,100
6,55,Ambient,3,0,80
6,1,High,1,0,100
6,2,High,1,0,100
6,5,High,1,40,80
6,17,High,1,0,100
6,20,High,1,0,100
6,23,High,1,0,100
6,24,High,1,0,100
6,29,High,1,0,100
6,32,High,1,80,80
6,33,High,1,0,20
6,34,High,1,40,60
6,4,High,2,0,80
6,7,High,2,0,80
6,10,High,2,60,80
6,14,High,2,0,80
6,19,High,2,0,100
6,22,High,2,0,100
6,25,High,2,0,80
6,26,High,2,20,100
6,27,High,2,0,100
6,28,High,2,0,100
6,31,High,2,20,80
6,46,High,2,20,80
6,48,High,2,0,80
6,50,High,2,0,80
6,52,High,2,40,40
6,54,High,2,0,80
6,58,High,2,0,80
6,60,High,2,80,100
6,3,High,3,0,100
6,6,High,3,40,80
6,8,High,3,0,80
6,9,High,3,20,100
6,11,High,3,20,60
6,12,High,3,60,80
6,13,High,3,0,100
6,15,High,3,0,80
6,16,High,3,0,100
6,18,High,3,40,100
6,21,High,3,20,80
6,30,High,3,0,20
6,35,High,3,0,100
6,44,High,3,0,0
6,56,High,3,0,80
7,4,Ambient,1,60,80
7,6,Ambient,1,40,80
7,7,Ambient,1,20,60
7,10,Ambient,1,80,80
7,11,Ambient,1,20,80
7,16,Ambient,1,80,100
7,17,Ambient,1,20,100
7,22,Ambient,1,60,100
7,23,Ambient,1,100,60
7,25,Ambient,1,80,100
7,34,Ambient,1,80,100
7,35,Ambient,1,80,80
7,49,Ambient,1,40,100
7,57,Ambient,1,20,100
7,3,Ambient,2,80,80
7,8,Ambient,2,60,100
7,9,Ambient,2,40,100
7,13,Ambient,2,80,80
7,14,Ambient,2,100,60
7,15,Ambient,2,100,100
7,18,Ambient,2,80,100
7,20,Ambient,2,40,100
7,24,Ambient,2,100,100
7,31,Ambient,2,80,80
7,32,Ambient,2,80,100
7,47,Ambient,2,80,40
7,53,Ambient,2,40,60
7,59,Ambient,2,100,80
7,1,Ambient,3,80,80
7,2,Ambient,3,80,60
7,5,Ambient,3,100,80
7,12,Ambient,3,100,60
7,19,Ambient,3,0,80
7,21,Ambient,3,40,100
7,26,Ambient,3,80,100
7,27,Ambient,3,80,100
7,28,Ambient,3,100,60
7,29,Ambient,3,100,100
7,30,Ambient,3,60,20
7,33,Ambient,3,100,0
7,51,Ambient,3,100,60
7,55,Ambient,3,80,60
7,1,High,1,0,100
7,2,High,1,0,100
7,5,High,1,20,80
7,17,High,1,0,100
7,20,High,1,0,100
7,23,High,1,0,80
7,24,High,1,0,100
7,29,High,1,0,100
7,32,High,1,40,100
7,33,High,1,0,20
7,34,High,1,0,100
7,4,High,2,20,100
7,7,High,2,100,60
7,10,High,2,80,80
7,14,High,2,20,60
7,19,High,2,0,100
7,22,High,2,0,80
7,25,High,2,0,80
7,26,High,2,80,80
7,27,High,2,0,100
7,28,High,2,20,80
7,31,High,2,60,80
7,46,High,2,0,100
7,48,High,2,20,100
7,50,High,2,60,60
7,52,High,2,0,100
7,54,High,2,0,100
7,58,High,2,60,80
7,60,High,2,100,60
7,3,High,3,0,100
7,6,High,3,20,80
7,8,High,3,0,80
7,9,High,3,40,100
7,11,High,3,20,60
7,12,High,3,60,80
7,13,High,3,0,100
7,15,High,3,40,80
7,16,High,3,20,80
7,18,High,3,20,100
7,21,High,3,0,100
7,30,High,3,0,100
7,35,High,3,0,100
7,44,High,3,0,0
7,56,High,3,0,100
8,4,Ambient,1,0,80
8,6,Ambient,1,40,60
8,7,Ambient,1,20,60
8,10,Ambient,1,80,80
8,11,Ambient,1,0,80
8,16,Ambient,1,20,100
8,17,Ambient,1,0,100
8,22,Ambient,1,0,80
8,23,Ambient,1,40,60
8,25,Ambient,1,20,100
8,34,Ambient,1,80,100
8,35,Ambient,1,20,100
8,49,Ambient,1,20,100
8,57,Ambient,1,20,100
8,3,Ambient,2,20,100
8,8,Ambient,2,20,80
8,9,Ambient,2,20,100
8,13,Ambient,2,20,100
8,14,Ambient,2,60,100
8,15,Ambient,2,40,100
8,18,Ambient,2,20,100
8,20,Ambient,2,40,80
8,24,Ambient,2,20,100
8,31,Ambient,2,20,60
8,32,Ambient,2,80,100
8,47,Ambient,2,20,40
8,53,Ambient,2,20,80
8,59,Ambient,2,20,60
8,1,Ambient,3,20,60
8,2,Ambient,3,80,60
8,5,Ambient,3,20,80
8,12,Ambient,3,80,60
8,19,Ambient,3,0,80
8,21,Ambient,3,60,100
8,26,Ambient,3,40,60
8,27,Ambient,3,20,80
8,28,Ambient,3,20,80
8,29,Ambient,3,0,80
8,30,Ambient,3,20,20
8,33,Ambient,3,20,0
8,51,Ambient,3,40,60
8,55,Ambient,3,20,60
8,1,High,1,0,80
8,2,High,1,0,100
8,5,High,1,20,100
8,17,High,1,0,100
8,20,High,1,0,100
8,23,High,1,20,100
8,24,High,1,20,100
8,29,High,1,0,100
8,32,High,1,40,100
8,33,High,1,0,0
8,34,High,1,0,100
8,4,High,2,20,80
8,7,High,2,20,60
8,10,High,2,80,80
8,14,High,2,20,60
8,19,High,2,80,100
8,22,High,2,60,100
8,25,High,2,0,80
8,26,High,2,20,80
8,27,High,2,0,100
8,28,High,2,0,80
8,31,High,2,60,80
8,46,High,2,0,100
8,48,High,2,20,80
8,50,High,2,80,80
8,52,High,2,40,60
8,54,High,2,0,100
8,58,High,2,60,80
8,60,High,2,100,60
8,3,High,3,0,100
8,6,High,3,60,80
8,8,High,3,0,80
8,9,High,3,60,80
8,11,High,3,20,60
8,12,High,3,80,60
8,13,High,3,0,100
8,15,High,3,40,100
8,16,High,3,0,80
8,18,High,3,60,100
8,21,High,3,0,80
8,30,High,3,0,100
8,35,High,3,0,100
8,44,High,3,0,20
8,56,High,3,0,100
9,4,Ambient,1,40,80
9,6,Ambient,1,60,80
9,7,Ambient,1,20,80
9,10,Ambient,1,40,80
9,11,Ambient,1,0,80
9,16,Ambient,1,20,80
9,17,Ambient,1,20,80
9,22,Ambient,1,0,100
9,23,Ambient,1,40,40
9,25,Ambient,1,0,100
9,34,Ambient,1,20,80
9,35,Ambient,1,20,80
9,49,Ambient,1,20,100
9,57,Ambient,1,20,100
9,3,Ambient,2,40,100
9,8,Ambient,2,0,80
9,9,Ambient,2,0,100
9,13,Ambient,2,40,100
9,14,Ambient,2,60,60
9,15,Ambient,2,20,80
9,18,Ambient,2,40,100
9,20,Ambient,2,40,80
9,24,Ambient,2,0,100
9,31,Ambient,2,20,80
9,32,Ambient,2,20,100
9,47,Ambient,2,40,60
